id,text,refined_tweets,in_reply_to_user,ids_intweets,original_tweets
930747639708168192,b'I was so happy to see Ayushi give a talk about her Research Project at Adobe today.. We met at the Google Women... https://t.co/HxhrA3JcZO',I happi see ayushi give talk research project adob today We met googl woman,,[],I happi see ayushi give talk research project adob today We met googl woman
929781340148588544,"b'"" first step to finding people like yourself is to show up as yourself."" https://t.co/JWPx3ObwYT'",first step find peopl like show,,[],first step find peopl like show
928497334861824002,b'https://t.co/dCEYWzymYc',,,[],
926855144855150592,b'Mind-boggling !! https://t.co/hI82oSddDm',mindboggl,,[],mindboggl
926555313091653632,b'https://t.co/k61KVGey0s',,,[],
925579125703741440,b'Thank You everyone for your wishes &lt;3 &lt;3 https://t.co/WnXUg6mE3R',thank you everyon wish lt3 lt3,,[],thank you everyon wish lt3 lt3
924185763310395394,b'Ayushi Mrigen on her experience with Adobe Women In Technology Scholarship .. very helpful to all those applying... https://t.co/nP84DcVZ1s',ayushi mrigen experi adob woman In technolog scholarship help appli,,[],ayushi mrigen experi adob woman In technolog scholarship help appli
922763685831069697,b'Surround yourself with like-minded people.. and stop telling your big dreams to small minded people :) Thanks for... https://t.co/rjFwsWoEXa',surround likemind peopl stop tell big dream small mind peopl thank,,[],surround likemind peopl stop tell big dream small mind peopl thank
922544978806546432,"b'Now I know .. vulnerability IS a badge of honour \n\n""Every time we choose courage, we make everyone around us a... https://t.co/NRDEQ6VY84'",now I know vulner IS badg honour everi time choos courag make everyon around u,,[],now I know vulner IS badg honour everi time choos courag make everyon around u
922153140949983232,"b'""New mantra : Chose discomfort over resentment"" \xe2\x80\x94 reading Bren\xc3\xa9 Brown'",new mantra chose discomfort resent read brené brown,,[],new mantra chose discomfort resent read brené brown
921802725502869505,"b""Lean In India's next webinar is on \xe2\x80\x9c Navigating Your Career Through Different Life Stages\xe2\x80\x9c by Urvee Juneja\n#LeanIn""",lean In india next webinar navig your career through differ life stage urve juneja leanin,,[],lean In india next webinar navig your career through differ life stage urve juneja leanin
921642329873686529,"b'""Well-behaved women seldom make history""'",wellbehav woman seldom make histori,,[],wellbehav woman seldom make histori
918752253124665344,"b'The good news is that Women in Circles Lean In Circles are more ambitious, reaching for promotions and making a... https://t.co/w9ZOroJzVa'",the good news woman circl lean In circl ambiti reach promot make,,[],the good news woman circl lean In circl ambiti reach promot make
918707328160899074,b'Nearly half of men think women are well represented in leadership at companies where only one in ten senior... https://t.co/tlKkVk9Nso',nearli half men think woman well repres leadership compani one ten senior,,[],nearli half men think woman well repres leadership compani one ten senior
918668389416964096,b'I posted a new video to Facebook https://t.co/E7GOIoHV64',I post new video facebook,,[],I post new video facebook
917755369467863040,b'Sheryl Sandberg on How to Get to Gender Equality https://t.co/LL1B650nkA',sheryl sandberg how get gender equal,,[],sheryl sandberg how get gender equal
917113836771127299,b'No offence .. but..... https://t.co/yq5exJvF5e',No offenc,,[],No offenc
916163872318525440,b'When your Facebook Wall is filled with posts of Grace Hopper Conference and Orlando updates &lt;3 Have fun girls :D Missing my days at FBGHC :)',when facebook wall fill post grace hopper confer orlando updat lt3 have fun girl D miss day fbghc,,[],when facebook wall fill post grace hopper confer orlando updat lt3 have fun girl D miss day fbghc
915581026155540481,b'https://t.co/HqkgueDjIn',,,[],
914815058286440448,"b'""Be yourself, share who you are, care where other people are in their lives, and make sure you\xe2\x80\x99re a good... https://t.co/uuhcdqjeI6'",Be share care peopl live make sure good,,[],Be share care peopl live make sure good
913090782097235973,b'#25LeanInStories Completed... Thank you to all those who went out of their way and took time from their schedules... https://t.co/kFnnT6Tyia',complet thank went way took time schedul,,[],complet thank went way took time schedul
912890215416639491,b'3 years of friendship \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8fmore to come \xe2\x98\xba\xef\xb8\x8f https://t.co/nqq8h8Jnjt',year friendship come,,[],year friendship come
912563135105634304,"b'Adobe is focused on bringing together the smartest, most driven, diverse set of individuals and give them the... https://t.co/V0ssgHldSS'",adob focus bring togeth smartest driven diver set individu give,,[],adob focus bring togeth smartest driven diver set individu give
911883424557871109,b'attending Facebook Developer Circle Delhi ML Session',attend facebook develop circl delhi ML session,,[],attend facebook develop circl delhi ML session
911068636084789249,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/V4k0zEXSio',,,[],
910798686963322880,b'Thank you Katie  for sharing your journey \xf0\x9f\x99\x82 you are my super hero \xe2\x98\xba\xef\xb8\x8f https://t.co/JdvNu6SzGp',thank kati share journey super hero,,[],thank kati share journey super hero
909844611987673088,"b'"" When you exchange emails, messages, or early phone calls, are you getting hints that your new boss, coworkers,... https://t.co/QP96W70Ph7'",when exchang email messag earli phone call get hint new bos cowork,,[],when exchang email messag earli phone call get hint new bos cowork
909751171069259776,b'Stand with sanya Khurana https://t.co/S2b8uZSzJl',stand sanya khurana,,[],stand sanya khurana
909357494689873920,b'Listening to Lean In Stories of women from all over the country #FeelingInspired',listen lean In stori woman countri feelinginspir,,[],listen lean In stori woman countri feelinginspir
909060719613636610,"b'Lean In India is organising a workshop on Python/DJango, join us in 10 minutes at https://t.co/1RPZ6flDF0'",lean In india organis workshop python/django join u minut,,[],lean In india organis workshop python/django join u minut
907980032701865985,"b'Anyone here who is good at sketching and drawing, and also can spare time to help me with a project ?? Please please inbox me \xf0\x9f\x99\x82'",anyon good sketch draw also spare time help project plea plea inbox,,[],anyon good sketch draw also spare time help project plea plea inbox
906369608013185025,b'Redefining the Future of Work https://t.co/BCica0zYaq',redefin futur work,,[],redefin futur work
904381739073712129,"b'As a follow up to the Lean In conference in July this year, I would like to hear out everyone whose lives have... https://t.co/LIY3jO6B6d'",As follow lean In confer juli year I would like hear everyon whose live,,[],As follow lean In confer juli year I would like hear everyon whose live
903531491904430080,"b'It is sad to hear about people being affected by Hurricane Harvey in Texas. One of my Lean In Sisters, a... https://t.co/RkvKsECq6p'",It sad hear peopl affect hurrican harvey texa one lean In sister,,[],It sad hear peopl affect hurrican harvey texa one lean In sister
902173344677711872,"b'Sending you loads of love, gratitude and birthday wishes from India. Happy Birthday Sheryl :) https://t.co/HvWoAbL5zE'",send load love gratitud birthday wish india happi birthday sheryl,,[],send load love gratitud birthday wish india happi birthday sheryl
899691574803800066,"b'""Self confidence is critical to happiness and success. When we lack it, we dwell on our flaws. We fail to embrace... https://t.co/LV1xWmuelb'",self confid critic happi success when lack dwell flaw We fail embrac,,[],self confid critic happi success when lack dwell flaw We fail embrac
899463232997425152,b'I remember going crazy that day \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b\xf0\x9f\x98\x8b this was amazing \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/Aage4OD3XI',I rememb go crazi day amaz,,[],I rememb go crazi day amaz
899460557371314176,b'Happy friendversary Sheryl\xe2\x9d\xa4\xef\xb8\x8f https://t.co/sorTRomHx4',happi friendversari sheryl,,[],happi friendversari sheryl
892994714307366912,"b'""When I was leading a small circle in campus, I was connected to each member and was able to see the change in... https://t.co/56vKd1oplp'",when I lead small circl campu I connect member abl see chang,,[],when I lead small circl campu I connect member abl see chang
892764828145680385,"b'Finally this reached me ..,. Thank you Nicole for keeping it safe and BIG THANK YOU Sheryl for encouraging me to... https://t.co/9X3VR5SbMN'",final reach thank nicol keep safe big thank you sheryl encourag,,[],final reach thank nicol keep safe big thank you sheryl encourag
892332620171890688,b'Thank you Sheryl for hosting an amazing dinner and making sure we EAT .... it was lovely meeting you .... thank... https://t.co/ER01qMsdNb',thank sheryl host amaz dinner make sure eat love meet thank,,[],thank sheryl host amaz dinner make sure eat love meet thank
891450388544536576,b'#-Pod 3 #LeanInCircle #ConnectionCards #ConferenceTakeAways #OneAction #Boomerang https://t.co/ZIW16tzS4x',pod leanincircl connectioncard conferencetakeaway oneact boomerang,,[],pod leanincircl connectioncard conferencetakeaway oneact boomerang
890097873324564482,"b""I don't know how I missed this one !! Thank you Lean In for sharing my story again :) :D #LeanIn #LeanInIndia... https://t.co/gCsiKHp7wc""",I dont know I miss one thank lean In share stori D leanin leaninindia,,[],I dont know I miss one thank lean In share stori D leanin leaninindia
889937294135787521,"b'travelling to Redwood City, California from IGIA T3:  Indira Gandhi International Airport Terminal 3, New Delhi -... https://t.co/CHGH3PvzGO'",travel redwood citi california igia T3 indira gandhi intern airport termin new delhi,,[],travel redwood citi california igia T3 indira gandhi intern airport termin new delhi
889505638031773696,"b""Thank you @Reshu Singh, Urvika' Gola, Tanya Jain, Deepthi Meduri, Gayatri Nair , Vineeta Motilal, Juhi Bhatnagar... https://t.co/YyZw5VIDZV""",thank singh urvika gola tanya jain deepthi meduri gayatri nair vineeta motil juhi bhatnagar,,['Reshu'],thank singh urvika gola tanya jain deepthi meduri gayatri nair vineeta motil juhi bhatnagar
888684829314822144,b'Featured on Indian Women Blog ... https://t.co/KzAhhV6KOe',featur indian woman blog,,[],featur indian woman blog
888680177873629184,"b'Introducing Lean In Circles, Circle Fundamentals and Connection Card Activities #LeanInIndia https://t.co/4PqHAqVB6k'",introduc lean In circl circl fundament connect card activ leaninindia,,[],introduc lean In circl circl fundament connect card activ leaninindia
888620339084873728,"b""And here it begins..... \xe2\x80\x93 attending Lean In India Summit'17""",and begin attend lean In india summit17,,[],and begin attend lean In india summit17
888398912784146432,b'Congratulations to all the Google Women TechMakers Scholars on my list \xe2\x98\xba\xef\xb8\x8f https://t.co/9HPVzu9HmQ',congratul googl woman techmak scholar list,,[],congratul googl woman techmak scholar list
888050705503854592,b'2 DAYS TO GO.... :) https://t.co/RXZxZqTlnA',day TO GO,,[],day TO GO
887561616727867392,b'3 DAYS TO GO.....\nhttps://t.co/AJK9Jn7myz https://t.co/NTIvW2Vvgv',day TO GO,,[],day TO GO
886646167030775808,b'Thanks to our sponsors and partners .. and the hard work of our volunteers.. Lean In India has waived off... https://t.co/WZyOvq0yty',thank sponsor partner hard work volunt lean In india waiv,,[],thank sponsor partner hard work volunt lean In india waiv
886613874681815040,"b'Self-deprecation humanizes leaders, creates connections with employees, and makes people think the... https://t.co/z1CVC7A1H5'",selfdeprec human leader creat connect employe make peopl think,,[],selfdeprec human leader creat connect employe make peopl think
886265035298918400,b':P :P \n#AdobeSign https://t.co/WvtTAByMpR',P P adobesign,,[],P P adobesign
884961269006159872,"b'In India, we stop developing our skills from class 10th ( because 10th and 12th Boards ), then prepare for... https://t.co/i0vnZ1C6js'",In india stop develop skill class board prepar,,[],In india stop develop skill class board prepar
884786359088668673,"b'Life is indeed all about building yourself. We, at Lean In India, believe in the same ! We love the idea of... https://t.co/h6EwEfXjTW'",life inde build We lean In india believ We love idea,,[],life inde build We lean In india believ We love idea
884225880985350148,b'Facebook is so stupid ... we became friends on 9th August 1999 ... huh :P https://t.co/a9yI5r3N0r',facebook stupid becam friend august huh P,,[],facebook stupid becam friend august huh P
883976656804872193,b'Lean In India Team is here .....\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/LM55bxjsEF',lean In india team,,[],lean In india team
883571326434381824,b'Values learnt from Sheryl Sandberg and Jessica Bennett that I want to remind myself everyday \xe2\x98\xba\xef\xb8\x8f\xe2\x98\xba\xef\xb8\x8f\xe2\x98\xba\xef\xb8\x8f',valu learnt sheryl sandberg jessica bennett I want remind everyday,,[],valu learnt sheryl sandberg jessica bennett I want remind everyday
880100441895428096,"b'""In an experiment with medical teams, a single rude comment from an observer was enough to slash their... https://t.co/4FbNOvqxkl'",In experi medic team singl rude comment observ enough slash,,[],In experi medic team singl rude comment observ enough slash
880059750301478915,b'Haha \xf0\x9f\x98\x82 This is funny \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/b29hzjOMW1',haha thi funni,,[],haha thi funni
879770118644879360,b'https://t.co/AAupKzrpAY',,,[],
872499151673540609,"b'RT @LeanInIndia: ""Never be afraid to break the invisible boundaries set by society. Never stop learning- @KhuranaSanya"" @LeanInOrg  https:/\xe2\x80\xa6'",never afraid break invis boundari set societi never stop learning,,"['LeanInIndia', 'KhuranaSanya""', 'LeanInOrg']", 
872492969835675653,b'Check out my Lean In Story at https://t.co/00RmKO3YfW Thank You Again @LeanInOrg @LeanInIndia #LeanInCS&amp;E',check lean In stori thank you again leanincsamp,,"['LeanInOrg', 'LeanInIndia']",check lean In stori thank you again leanincsamp
872474758352220162,"b'The best part of GHC was hanging out with Lean In CS&amp;E Booth with Emily, Melanie and Kunbi. While I felt a little... https://t.co/czIPX3Kfat'",the best part ghc hang lean In csamp booth emili melani kunbi while I felt littl,,[],the best part ghc hang lean In csamp booth emili melani kunbi while I felt littl
869248619043368960,b'RT @LeanInIndia: Life Lessons from the Past Generation- An #ode to all unsung women who have trailed the blaze n #inspire generations https\xe2\x80\xa6',life lesson past generation An ode unsung woman trail blaze n inspir gener,,['LeanInIndia'], 
869248525996929024,"b'RT @LeanInIndia: ""Why Moms make the best Entrepreneurs""-TED Talk @LeanInOrg #leaningin https://t.co/IIbczVXSEy'",whi mom make best entrepreneurst talk leaningin,,"['LeanInIndia', 'LeanInOrg']", 
869248460129566720,"b""RT @LeanInIndia: #Repost @leaninorg (@get_repost)\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nOn average, women are paid 46% less than men worldwide. Here's a look at the gender p\xe2\x80\xa6""",repost On averag woman paid le men worldwid here look gender p…,,"['LeanInIndia', 'leaninorg']", 
868694783073673216,b'She studies less than me but scores more than me ..... 94% 12th Boards Khushi \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\xbb\xf0\x9f\x91\xbb\xf0\x9f\x91\xbb\xf0\x9f\x91\xbb\xf0\x9f\x91\xbb \xe2\x80\x94 feeling proud',she studi le score board khushi feel proud,,[],she studi le score board khushi feel proud
868042210431844356,b'Those who are Lean In Circle Members studying in college can also get in touch https://t.co/OF8sGOtQ7H',those lean In circl member studi colleg also get touch,,[],those lean In circl member studi colleg also get touch
867829073166204928,b'https://t.co/6gI2P4uGiz',,,[],
867639241689374724,b'All those who are/have been Lean In Leaders in their campuses in India ... get in touch with me as soon as... https://t.co/bujBkhNCzJ',all are/hav lean In leader campus india get touch soon,,[],all are/hav lean In leader campus india get touch soon
866318542014001152,b'Lean In India is looking for Communications Managers. \n\nRole of the Communications Manager: \n\n1) Manage the... https://t.co/bSBCjjRkwm',lean In india look commun manag role commun manag manag,,[],lean In india look commun manag role commun manag manag
866019874446819328,b'Ashley \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/wRcTNbIIuX',ashley,,[],ashley
865550935488999426,b'GOOGLE WOMENTECHMAKERS SCHOLARSHIP are open till 22nd May.. Apply Now!! https://t.co/Zk047Yg27H',googl womentechmak scholarship open till may appli now,,[],googl womentechmak scholarship open till may appli now
865476400513298432,b'Applications are open till 22nd May !! APPLY APPLY !! https://t.co/X5kDn5k3IN',applic open till may appli appli,,[],applic open till may appli appli
865153098074865664,"b'Last year I got the opportunity to meet some amazing and inspiring people like Goranka Bjedov, Zef RosnBrick,... https://t.co/kGuJ3pQQAh'",last year I got opportun meet amaz inspir peopl like goranka bjedov zef rosnbrick,,[],last year I got opportun meet amaz inspir peopl like goranka bjedov zef rosnbrick
864798927899443201,b'Seriously ? \xf0\x9f\x98\x92 https://t.co/l1caUdrSJx',serious,,[],serious
864438551340998661,b'.@arunjaitley: #TaxFreeWings: Petition for removal of tax on sanitary napkins - Sign the Petition! https://t.co/Qv3X3qjlP1',taxfreew petit remov tax sanitari napkin sign petit,,[],taxfreew petit remov tax sanitari napkin sign petit
864418778292998145,b'We all know the Pay Gap is 27% in India ( on average ). One of the reasons of pay gap is that more men than women... https://t.co/58k2LuHpwE',We know pay gap india averag one reason pay gap men woman,,[],We know pay gap india averag one reason pay gap men woman
864154474524192768,"b'""In graduation speeches, three of the most popular virtues are generosity, authenticity, and grit. If you want to... https://t.co/Ec3zztYagD'",In graduat speech three popular virtu generos authent grit If want,,[],In graduat speech three popular virtu generos authent grit If want
864139666798161921,"b'Well.... This is new !!!\n\n""Great leaders don\'t seek to be loved or feared. They strive to be trusted and respected."" https://t.co/6QfiFOHUAr'",well thi new great leader dont seek love fear they strive trust respect,,[],well thi new great leader dont seek love fear they strive trust respect
863047975144239106,"b'""We are more vulnerable than we ever though but we are stronger than we imagined""\n\nOn collective resilience and... https://t.co/hghcEOsdtG'",We vulner ever though stronger imagin On collect resili,,[],We vulner ever though stronger imagin On collect resili
862936023554240512,"b'""You can use your energy to spread the darkness of destruction, or you can use it to spread the joy of light to... https://t.co/ZcLN71V9Nt'",you use energi spread dark destruct use spread joy light,,[],you use energi spread dark destruct use spread joy light
859411836633989120,b'Thank you Blisstro Videos for collaborating with Lean In India to spread awareness about Equal Pay in India.... https://t.co/NRodYSFRqu',thank blisstro video collabor lean In india spread awar equal pay india,,[],thank blisstro video collabor lean In india spread awar equal pay india
858204982700634112,b'https://t.co/AsSx0syyU7',,,[],
858204550381096960,"b'Lean In India Volunteer Arunima Sharma , with incredible experiences like being the Google Anita Borg Scholar of... https://t.co/1xVx940wZo'",lean In india volunt arunima sharma incred experi like googl anita borg scholar,,[],lean In india volunt arunima sharma incred experi like googl anita borg scholar
857543415029841920,b'APPLY NOW :D https://t.co/CuLgkqY1jq',appli now D,,[],appli now D
857355972968275968,b'https://t.co/Zyild7sJdq',,,[],
857354859611213824,b'https://t.co/JPVF6cCAgd',,,[],
857354849184133120,b'https://t.co/mtuXiDuZHC',,,[],
857073970243358726,b'Cordila Jochim Erika Cashin #LeanInWomenVeterans https://t.co/2Xak5FDkbZ',cordila jochim erika cashin leaninwomenveteran,,[],cordila jochim erika cashin leaninwomenveteran
856765202972516352,b'https://t.co/mldX7Dz903',,,[],
856578567991214084,"b'Option B illuminates how to help others in crisis, develop compassion for ourselves, raise strong children, and... https://t.co/twM3aPXtZY'",option B illumin help other crisi develop compass rais strong child,,[],option B illumin help other crisi develop compass rais strong child
856503616491839488,b'Thanks again Sheryl \xe2\x9d\xa4\xef\xb8\x8f https://t.co/NU13OiriO8',thank sheryl,,[],thank sheryl
856497786572767241,b'Option B is out today !! https://t.co/jfZJ04ya5B',option B today,,[],option B today
856221908039225344,b'https://t.co/OsLnSPGR16',,,[],
856040418366160896,b'#LadyBoss https://t.co/mmray1BMf9',ladyboss,,[],ladyboss
854789243134033920,b'https://t.co/j3xTRIluSQ',,,[],
854752373511643136,b'bringinsiyaback - Sign the Petition! https://t.co/GFsT6DpifD',bringinsiyaback sign petit,,[],bringinsiyaback sign petit
854617747187048448,"b""Important tips by one of the last year's Google Women TechMakers Scholars for aspirants this year ... Do have a... https://t.co/RkxVkn0u7A""",import tip one last year googl woman techmak scholar aspir year Do,,[],import tip one last year googl woman techmak scholar aspir year Do
853848820043710467,b'Last year I got the amazing opportunity to meet some of the very inspiring student women leaders in technology in... https://t.co/T88h1GeGYX',last year I got amaz opportun meet inspir student woman leader technolog,,[],last year I got amaz opportun meet inspir student woman leader technolog
853204960195919872,b'https://t.co/CtlPnIIDuJ',,,[],
852785166367969280,"b'Thank You Kathy for being open and for sharing your story. As I said the first time we met, you are one of the... https://t.co/Eb7KnqO4lT'",thank you kathi open share stori As I said first time met one,,[],thank you kathi open share stori As I said first time met one
852626891076915200,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/8AhXR9vFoM',,,[],
851826096123162624,b'https://t.co/dJCT5Y99Lb',,,[],
851434097809346560,b'https://t.co/V7xgFgT3GQ',,,[],
850645988968603648,b'Books on my list...\nhttps://t.co/Ihq45WiEWl https://t.co/ba4rJwbKTv',book list,,[],book list
850429347387154432,b'Anyone here who can take up an online session on Salary Negotiations for Lean In India? Kindly inbox me or mail... https://t.co/EwqXbSLj4J',anyon take onlin session salari negoti lean In india kindli inbox mail,,[],anyon take onlin session salari negoti lean In india kindli inbox mail
850428865927303168,b'Because #20PercentCounts https://t.co/SiS6G4MVMO',becaus,,[],becaus
849308513423810560,"b'This starts very young in our country where , even in 2017, daughters are provided lesser nutrition and medical... https://t.co/PDan9rfrja'",thi start young countri even daughter provid lesser nutrit medic,,[],thi start young countri even daughter provid lesser nutrit medic
848976303814352896,"b'After empowering women toward their dreams at work place, I would be finally entering the work place in a few... https://t.co/lMniyeAMGs'",after empow woman toward dream work place I would final enter work place,,[],after empow woman toward dream work place I would final enter work place
848894764451860480,"b'According to Monster Salary Index, In India, Women on average are paid 27 % less than men for the same work""\n\nIf... https://t.co/U8OljQRDZx'",accord monster salari index In india woman averag paid le men work If,,[],accord monster salari index In india woman averag paid le men work If
847720331112398852,b'https://t.co/O14IW9I6Pt',,,[],
847497046122676228,b'Hello folks!\nLean In India is hiring **Social Media Managers**\nIf you are a social media person and want to be a... https://t.co/pyI8RDJbfw',hello folk lean In india hire social medium manag If social medium person want,,[],hello folk lean In india hire social medium manag If social medium person want
846626076231176192,b'Way to go Vaishali :) https://t.co/IB1py3uYDj',way go vaishali,,[],way go vaishali
845943241350406146,b'When starting with your career.. Start by soliciting feedback.. then focus on good stuff.. and then it is... https://t.co/tKsoxvQuYO',when start career start solicit feedback focu good stuff,,[],when start career start solicit feedback focu good stuff
842067667464871936,b'Great work Prateeka \xe2\x9d\xa4 thanks for volunteering :) #DPSIFriends https://t.co/wIAMPsp79g',great work prateeka thank volunt dpsifriend,,[],great work prateeka thank volunt dpsifriend
841725788961480704,b'When you are getting out of your comfort zone in all phases of your life... sometimes it gets so uncomfortably... https://t.co/nbXf6zLfvw',when get comfort zone phase life sometim get uncomfort,,[],when get comfort zone phase life sometim get uncomfort
841005079054315520,b'Happy 4th Birthday Lean In &lt;3 Your Mommies expected only 500 circles after a few months you were born... but you... https://t.co/P5sc7ozemp',happi birthday lean In lt3 your mommi expect circl month born,,[],happi birthday lean In lt3 your mommi expect circl month born
839491047050854406,"b'Thank You Sheryl and Lean In Team for your consistent love, support and encouragement !! Every day truly feels... https://t.co/NeI3VldStw'",thank you sheryl lean In team consist love support encourag everi day truli feel,,[],thank you sheryl lean In team consist love support encourag everi day truli feel
839462023763116032,"b'""This March 8th, we\xe2\x80\x99re more committed than ever to our mission of equality. We\xe2\x80\x99re growing our team. We\xe2\x80\x99re... https://t.co/mugnw8jBaU'",thi march commit ever mission equal We grow team We,,[],thi march commit ever mission equal We grow team We
837921893445431296,b'Calling all women coders on March 11 \xe2\x80\x94 register for Code Jam to I/O for Women today to win a ticket to Google... https://t.co/Jud7d6Scwi',call woman coder march regist code jam i/o woman today win ticket googl,,[],call woman coder march regist code jam i/o woman today win ticket googl
837364934321160192,"b'RT @ishan1604: Who wants my Talk ""Roasting Google APIs on Firebase to create Uberritos""? @droidconbos Pls lyk dis tweet on twitter so I can\xe2\x80\xa6'",who want talk roast googl api firebas creat uberrito pl lyk di tweet twitter I can…,,"['ishan1604', 'droidconbos']", 
834828389802389504,b'Thanks Saqi Mehta and #WomenWhoReign Team :)... https://t.co/JuM8yborCh',thank saqi mehta womenwhoreign team,,[],thank saqi mehta womenwhoreign team
832979347174744064,b'Thank you Preethi and Malavika from Lean In Bangalore and Manishree from Lean In Ameriprise Financial for sharing... https://t.co/Egh0HwZ6Tp',thank preethi malavika lean In bangalor manishre lean In ameripris financi share,,[],thank preethi malavika lean In bangalor manishre lean In ameripris financi share
832584121989873666,b'Lean In India today becomes a chapter of 1000 Members -- a small drop in the ocean though.. we have a long way to... https://t.co/hC5eBxPaFn',lean In india today becom chapter member small drop ocean though long way,,[],lean In india today becom chapter member small drop ocean though long way
832156019740532736,b'Jigyasa Grover is nominated as finalist for Red Hat International Women in Open Source Academic Awards 2017. She... https://t.co/yhDwqjnbK1',jigyasa grover nomin finalist red hat intern woman open sourc academ award she,,[],jigyasa grover nomin finalist red hat intern woman open sourc academ award she
829986570048507909,"b""A part of my 2017 New Year's resolution (which was Self Care) was to cut off all toxic friendships in my life. I... https://t.co/7oDC9EVeY3""",A part new year resolut self care cut toxic friendship life I,,[],A part new year resolut self care cut toxic friendship life I
828889322489257984,b'We are looking for Content Writers for our Website and Social Media Pages!! https://t.co/a0A7tb83VW',We look content writer websit social medium page,,[],We look content writer websit social medium page
827179172493668354,b'snob:  noun\nMeaning : a person with an exaggerated respect for high social position or wealth who seeks to... https://t.co/qBZRi4vOpZ',snob noun mean person exagger respect high social posit wealth seek,,[],snob noun mean person exagger respect high social posit wealth seek
